,statement,source,year,veracity
112_20,"Says oil ""production's down where Obama's in charge.""",Crossroads GPS,"stated on April 10, 2012 in a Web ad:",half-true
112_21,"""What president has the worst record on female labor force participation? Barack Obama.""",Mitt Romney,"stated on April 9, 2012 in a graphic posted on his website:",barely-true
112_22,"""Women account for 92.3 percent of the jobs lost under Obama.""",Mitt Romney,"stated on April 6, 2012 in Mitt Romney's website:",barely-true
112_23,"President Barack Obama ""has doubled the size of government since he took office.""",Paul Ryan,"stated on April 10, 2012 in a congressional Web page:",pants-fire
112_24,"""Why was there no news coverage of this raid on the Arizona border? … Seizure was just five days ago. Right on the Arizona border!""",Chain email,"stated on April 6, 2012 in an email:",pants-fire
112_25,"""General Motors is the largest corporation in the world again.""",Joe Biden,"stated on April 1, 2012 in a “Face the Nation” interview:",false
112_26,"Under the House Republican budget, ""if these cuts were to be spread out evenly … the year after next, nearly 10 million college students would see their financial aid cut by an average of more than $1,000 each.""",Barack Obama,"stated on April 3, 2012 in remarks to a meeting of the Newspaper Association of America:",half-true
112_27,Says Obama has failed to pass a budget.,Mitt Romney,"stated on April 4, 2012 in a speech to newspaper editors:",barely-true
112_28,"""Republicans in Congress refuse to list a single tax loophole they are willing to close.""",Barack Obama,"stated on April 3, 2012 in remarks to the Newspaper Association of America:",true
112_29,"Says Ronald Reagan ""understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases.""",Barack Obama,"stated on April 3, 2012 in remarks to the Newspaper Association of America:",mostly-true
113_0,"Says Barack Obama ""is the only president to ever cut $500 billion from Medicare.""",Mitt Romney,"stated on April 4, 2012 in a speech to the Newspaper Association of America:",false
113_1,"If the Supreme Court throws out the federal health care law, it ""would be an unprecedented, extraordinary step of overturning a law that was passed by a strong majority of a democratically elected Congress.""",Barack Obama,"stated on April 2, 2012 in a Rose Garden press conference:",false
113_2,"""I think it’s seven or eight of the California system of universities don’t even teach an American history course. It’s not even available to be taught.""",Rick Santorum,"stated on April 2, 2012 in in a speech in Wisconsin:",false
113_3,"""Obama opposed exploring for energy in Alaska.""",American Energy Alliance,"stated on March 27, 2012 in a video ad:",half-true
113_4,"Last year, ""Exxon pocketed nearly $4.7 million every hour.""",Barack Obama,"stated on March 29, 2012 in a speech in the Rose Garden:",true
113_5,"A bill that could restrict free speech when the president is nearby was signed by President Barack Obama ""in secret.""",Andrew Napolitano,"stated on March 15, 2012 in an interview on Fox News:",pants-fire
113_6,"""Polls show Americans are overwhelmingly opposed to Obamacare, especially the individual mandate.""",Rick Santorum,"stated on March 26, 2012 in an op-ed in ""U.S. News & World Report"":",mostly-true
113_7,"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",Rick Santorum,"stated on March 25, 2012 in a campaign appearance in Wisconsin:",half-true
113_8,"""Up to 80 percent of small businesses will be forced to give up their current plans due to new Obamacare regulations.""",Senate Republican Conference,"stated on March 22, 2012 in a Web video:",half-true
113_9,"President Barack Obama ""reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.""",Barack Obama,"stated on March 20, 2012 in a web video ad:",true
113_10,"Says that while President Barack Obama promised to ""work with your employer to lower your premiums by $2,500 per family per year,"" his health care law ""raises premiums in the individual market by $2,100 per family.""",Senate Republican Conference,"stated on March 21, 2012 in a web video:",barely-true
113_11,"According to the Congressional Budget Office, ""as many as 20 million Americans could lose their employer-based insurance thanks to Obamacare.""",Reince Priebus,"stated on March 23, 2012 in an op-ed:",half-true
113_12,Says Romney flip-flopped on abortion.,American Bridge 21st Century,"stated on March 21, 2012 in a video ad:",true
113_13,"President Barack Obama is ""ending Medicare as we know it.""",Mitt Romney,"stated on March 12, 2012 in a campaign memo:",pants-fire
113_14,"The administration has issued rules for ""$1 abortions in ObamaCare"" and ""requires all persons enrolled in insurance plans that include elective abortion coverage to pay"" an abortion premium.",Bloggers,"stated on March 12, 2012 in blog posts and links on the Internet:",false
113_15,"""(GM and Chrysler) repaid their loans.""",Barack Obama,"stated on March 15, 2012 in in campaign video “The Road We’ve Traveled”:",half-true
113_16,"""Did you know ObamaCare will cost nearly twice as much as initially expected -- $1.8 TRILLION?""",Ted Cruz,"stated on March 19, 2012 in a tweet.:",false
113_17,"Despite President Barack Obama's promise to cut healthcare costs, ""the average cost of a family policy is up $1,300.""",Republican National Committee,"stated on March 19, 2012 in a campaign ad:",half-true
113_18,"Because of the new health care law, ""Americans no longer will see their coverage dropped or capped when illness strikes.""",Barack Obama,"stated on March 16, 2012 in an Obama campaign film:",mostly-true
113_19,"By the time Obama took office, ""The Bush administration had given the car companies $13 billion and the money was now gone.""",Barack Obama,"stated on March 15, 2012 in a campaign video:",mostly-true
113_20,"Because of the new health care law, ""17 million kids can no longer be denied for a pre-existing condition.""",Barack Obama,"stated on March 16, 2012 in the campaign film ""The Road We've Traveled"":",barely-true
113_21,"Because of the new health care law, ""2.5 million young adults now have coverage.""",Barack Obama,"stated on March 16, 2012 in the campaign film ""The Road We've Traveled"":",mostly-true
113_22,"Obama's secretary of energy, Dr. Steven Chu, ""has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon.""",Newt Gingrich,"stated on March 11, 2012 in an appearance on ""Fox News Sunday"":",mostly-true
113_23,"President Barack Obama’s policies have forced ""many parts of the country to experience rolling blackouts.""",Rick Santorum,"stated on March 10, 2012 in a op-ed posted on his website:",pants-fire
113_24,"""It costs about $40,000 a year for a homeless person to be on the streets.""",Shaun  Donovan,"stated on March 5, 2012 in an interview on ""The Daily Show"":",mostly-true
113_25,"After President Barack Obama’s health care law takes full effect, ""100 percent"" of Americans will ""depend on some form of federal payment, some form of government benefit to help provide for them.""",Rick Santorum,"stated on March 6, 2012 in a campaign speech in Steubenville, Ohio:",false
113_26,"""A little less than 50 percent of the people in this country depend on some form of federal payment, some form of government benefit to help provide for them.""",Rick Santorum,"stated on March 6, 2012 in a campaign speech in Steubenville, Ohio:",mostly-true
113_27,"""Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined.""",David Axelrod,"stated on March 6, 2012 in an interview on NBC:",false
113_28,"Ronald Reagan’s philosophy of ""peace through strength"" is why ""the Iranians released the hostages on the same day and at the same hour that Reagan was sworn in.""",Mitt Romney,"stated on March 6, 2012 in a speech to the American-Israel Public Affairs Committee:",pants-fire
113_29,"""If you look up the dictionary definition of happiness at the time of our founders … happiness was not doing what you want to do but doing what you ought to do.""",Rick Santorum,"stated on February 29, 2012 in a speech near Knoxville, Tenn.:",barely-true
114_0,"Says the federal government ""tells health insurance companies how much money they're allowed to keep of what they receive in revenues -- 15 percent.""",Rick Santorum,"stated on February 29, 2012 in a campaign speech:",half-true
114_1,"""When my grandfather came to this country back in 1925, there were no government benefits.""",Rick Santorum,"stated on February 29, 2012 in a campaign speech:",false
114_2,"Says in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt.""",Mitt Romney,"stated on March 2, 2012 in a rally in Cleveland, Ohio:",pants-fire
114_3,"Mitt Romney ""left Massachusetts $1 billion in debt.""","Red, White and Blue Fund","stated on February 24, 2012 in a campaign ad:",false
114_4,"""Gingrich supported individual health insurance mandates.""","Red, White and Blue Fund","stated on February 24, 2012 in a campaign ad:",true
114_5,"""Under President Obama, U.S. security funding for Israel is at an all-time high.""",Democratic National Committee,"stated on February 29, 2012 in a Web video advertisement:",half-true
114_6,"Says Rick Santorum ""funded Planned Parenthood.""",Ron Paul,"stated on February 28, 2012 in a campaign commercial:",half-true
114_7,"Says Rick Santorum ""opposes right-to-work""",Ron Paul,"stated on February 28, 2012 in a campaign commercial:",half-true
114_8,"Says Mitt Romney said he does not ""line up with the NRA.""",Rick Santorum,"stated on February 23, 2012 in a television ad:",true
114_9,"""Since President Obama took full control of Washington,"" every day, 13,000 more people ""have been put on food stamps.""",National Republican Congressional Committee,"stated on January 25, 2012 in an advertisement:",half-true
114_10,"Says ""Rick Santorum supported (Arlen) Specter over conservative candidates twice.""",Mitt Romney,"stated on February 23, 2012 in Feb. 23, 2012, in a campaign ad:",true
114_11,"""Since President Obama took full control of Washington … every single day, more than 1,500 of our jobs have been lost.""",National Republican Congressional Committee,"stated on January 24, 2012 in a Web ad:",barely-true
114_12,"""President Obama once said he wants everybody in America to go to college.""",Rick Santorum,"stated on February 25, 2012 in a speech in Troy, Mich.:",false
114_13,"""Amniocentesis, does, in fact, result more often than not in this country in abortion.""",Rick Santorum,"stated on February 19, 2012 in an interview on CBS's ""Face the Nation"":",false
114_14,"""The president gave the (auto) companies to the UAW.""",Mitt Romney,"stated on February 22, 2012 in a primary debate in Arizona:",false
114_15,"After prenatal diagnosis, ""90 percent of Down syndrome children in America are aborted.""",Rick Santorum,"stated on February 19, 2012 in an interview on CBS's ""Face the Nation"":",half-true
114_16,"One estimate says there may be ""three times as much oil in the United States as there is in Saudi Arabia.""",Newt Gingrich,"stated on February 22, 2012 in a televised address:",barely-true
114_17,"""Over 40 percent of children born in America are born out of wedlock.""",Rick Santorum,"stated on February 22, 2012 in a Republican presidential debate in Mesa, Ariz.:",true
114_18,"""This president ... could have gotten crippling sanctions against Iran. He did not.""",Mitt Romney,"stated on February 22, 2012 in in a Republican presidential debate in Mesa, Ariz.:",barely-true
114_19,"""When I was born, less than 10 percent of the federal budget was entitlement spending. It's now 60 percent of the budget.""",Rick Santorum,"stated on February 22, 2012 in a Republican presidential debate in Mesa, Ariz.:",half-true
114_20,"""When I was born, defense spending was 60 percent of the budget. It's now 17 percent.""",Rick Santorum,"stated on February 22, 2012 in a Republican presidential debate in Mesa, Ariz.:",mostly-true
114_21,"Says in the last 20 years, the French have not ""stood by"" the United States on foreign policy.",Rick Santorum,"stated on February 17, 2012 in a campaign event:",pants-fire
114_22,Says Mitt Romney supports cap and trade.,Rick Santorum,"stated on February 14, 2012 in a video ad airing in Michigan:",false
114_23,"""Romney adviser admits Romneycare was blueprint for Obamacare.""",Rick Santorum,"stated on February 14, 2012 in a television ad:",mostly-true
114_24,"""Obamacare (hit) Americans with over $500 billion in new taxes.""",U.S. Chamber of Commerce,"stated on February 8, 2012 in an ad against Sen. Jon Tester, D-Mont.:",half-true
114_25,"""Obamacare ... will kill jobs across America.""",U.S. Chamber of Commerce,"stated on February 8, 2012 in a television ad:",false
114_26,"Says the Congressional Budget Office said ""unemployment could top 9 percent in 2013""",U.S. Chamber of Commerce,"stated on February 8, 2012 in a video ad:",barely-true
114_27,"Says Barack Obama ""endorsed a total ban on the manufacture, sale and possession of all handguns.""",Wayne LaPierre,"stated on February 10, 2012 in a speech at the Conservative Political Action Conference:",barely-true
114_28,"""You can't pass a budget in the Senate of the United States without 60 votes.""",Jack Lew,"stated on February 12, 2012 in an interview on CNN's ""State of the Union with Candy Crowley"":",false
114_29,"""Preventive care … saves money, for families, for businesses, for government, for everybody.""",Barack Obama,"stated on February 10, 2012 in a briefing at the White House:",false
115_0,"President Obama told people ""to skip coming here (Las Vegas) for conventions and meetings.""",Mitt Romney,"stated on February 4, 2012 in a stump speech in Las Vegas:",barely-true
115_1,"""President Obama is shrinking our military.""",Mitt Romney,"stated on February 4, 2012 in a speech in Las Vegas, Nev.:",half-true
115_2,"""Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent.""",Mitt Romney,"stated on February 4, 2012 in a victory speech in Las Vegas on Feb. 4, 2012:",barely-true
115_3,"""If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.""",Mitt Romney,"stated on February 4, 2012 in a speech in Las Vegas, Nev., on Feb. 4, 2012:",true
115_4,On fundraising for super PACs,Barack Obama,"stated on February 6, 2012 in a campaign blog post:",full-flop
115_5,"Says President Barack Obama ""has an Environmental Protection Agency proposal that would raise the price of gasoline by 25 cents a gallon.""",Newt Gingrich,"stated on February 5, 2012 in an interview on ""Meet the Press"":",false
115_6,"Newt Gingrich ""was fined $300,000 for ethics violations.""",Restore Our Future,"stated on December 14, 2011 in a television ad:",mostly-true
115_7,"""Most women, including 98 percent of Catholic women, have used contraception.""",Cecilia Muñoz,"stated on February 1, 2012 in a post to the White House Blog:",mostly-true
115_8,"""Since ObamaCare and the stimulus passed, the unemployment rate in the U.S. has increased.""",Pete Hoekstra,"stated on February 5, 2012 in a website linked to a campaign ad:",false
115_9,"""Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day.""",Newt Gingrich,"stated on January 30, 2012 in a speech in Tampa, Fla.:",barely-true
115_10,"""The Obama administration ... would impose on every Catholic institution, every Jewish institution, every Protestant institution the Obamacare standard of what you have to buy as insurance.""",Newt Gingrich,"stated on January 30, 2012 in a town hall in Jacksonville, Fla.:",barely-true
115_11,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",Chain email,"stated on January 30, 2012 in a chain e-mail and blog and Facebook posts:",true
115_12,"Students today ""take more years to get through"" college.",Newt Gingrich,"stated on January 28, 2012 in comments at a campaign event:",barely-true
115_13,"""In 2006, I went out and authored a letter with 24 other senators asking for major reform of Freddie and Fannie, warning of a meltdown and a bubble in the housing market.""",Rick Santorum,"stated on January 26, 2012 in a Republican presidential debate in Jacksonville, Fla.:",barely-true
115_14,"""I've never voted for a Democrat when there was a Republican on the ballot.""",Mitt Romney,"stated on January 26, 2012 in a Republican presidential debate in Jacksonville, Fla.:",half-true
115_15,"""Romneycare … is a top-down, government-run health care system.""",Rick Santorum,"stated on January 26, 2012 in a Republican presidential primary debate:",barely-true
115_16,"""We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets.""",Newt Gingrich,"stated on January 26, 2012 in a Republican presidential debate in Jacksonville, Fla.:",mostly-true
115_17,Republican-leaning states get more in federal dollars than they pay in taxes.,Bloggers,"stated on January 26, 2012 in a graphic circulating on the Internet:",mostly-true
115_18,Says Steve Jobs was responsible for creating more jobs than the stimulus bill.,Mitch Daniels,"stated on January 24, 2012 in a Republican response to the State of the Union address:",false
115_19,"""Nearly half of all persons under 30 did not go to work today.""",Mitch Daniels,"stated on January 24, 2012 in a Republican response to the State of the Union address:",pants-fire
115_20,"""(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states.""",Mitt Romney,"stated on January 23, 2012 in comments to reporters in Tampa, Fla.:",half-true
115_21,"""In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.""",Barack Obama,"stated on January 24, 2012 in the State of the Union address:",mostly-true
115_22,"""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker.""",Barack Obama,"stated on January 24, 2012 in the State of the Union address:",half-true
115_23,"""Right now, American oil production is the highest that it’s been in eight years.""",Barack Obama,"stated on January 24, 2012 in the State of the Union address:",mostly-true
115_24,Says he eliminated an EPA rule that treated spilled milk like it was oil.,Barack Obama,"stated on January 24, 2012 in the State of the Union address:",true
115_25,"""The median income in this country has declined 10 percent in the last four years.""",Mitt Romney,"stated on January 23, 2012 in a Republican presidential debate in Tampa:",half-true
115_26,"Florida's economy ""became a bad economy ... because of a huge spike in oil prices in the summer of 2008.""",Rick Santorum,"stated on January 23, 2012 in a Republican presidential debate in Tampa, Fla.:",barely-true
115_27,"""Speaker Gingrich for 20 years supported a federal individual mandate"" for health insurance.",Rick Santorum,"stated on January 23, 2012 in a Republican presidential primary debate in Tampa, Fla.:",mostly-true
115_28,"""We have 25 million Americans out of work.""",Mitt Romney,"stated on January 23, 2012 in a Republican presidential debate in Tampa:",half-true
115_29,"Newt Gingrich says electric co-ops and credit unions are ""government-sponsored enterprises"" like Freddie Mac.",Newt Gingrich,"stated on January 23, 2012 in a Republican presidential primary debate:",pants-fire
116_0,"""When I was speaker, we had four consecutive balanced budgets.""",Newt Gingrich,"stated on January 23, 2012 in a Republican presidential debate in Tampa:",false
116_1,"""I didn't inherit money from my parents.""",Mitt Romney,"stated on January 19, 2012 in a Republican presidential debate in Charleston, S.C.:",half-true
116_2,"President Obama has ""said he is going to cut veterans' benefits.""",Rick Santorum,"stated on January 19, 2012 in a Republican presidential primary debate:",half-true
116_3,"Says Mitt Romney ""put Planned Parenthood on a state medical board but failed to put a pro-life group on the same board.""",Newt Gingrich,"stated on January 10, 2012 in a video campaign ad:",half-true
116_4,"""Romney signed government-mandated health care with taxpayer-funded abortions.""",Newt Gingrich,"stated on January 10, 2012 in a video ad:",barely-true
116_5,Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.,Rick Santorum,"stated on January 16, 2012 in a debate in South Carolina:",false
116_6,"Says PolitiFact has said he ""kept a campaign promise to toughen ethics rules.""",Barack Obama,"stated on January 18, 2012 in a campaign ad:",half-true
116_7,"""In campaigns in the past with Sen. McCain and President George W. Bush and others, they have tended to release tax records in April.""",Mitt Romney,"stated on January 16, 2012 in a Republican presidential debate in Myrtle Beach, S.C.:",half-true
116_8,"The U.S. military is at risk of losing its ""military superiority"" because ""our Navy is smaller than it's been since 1917. Our Air Force is smaller and older than any time since 1947.""",Mitt Romney,"stated on January 16, 2012 in a Republican presidential debate in Myrtle Beach, S.C.:",pants-fire
116_9,"""More people have been put on food stamps by Barack Obama than any president in American history.""",Newt Gingrich,"stated on January 16, 2012 in a Republican presidential debate in Myrtle Beach, S.C.:",half-true
116_10,"""More Americans have lost their jobs under Barack Obama than any president in modern history.""",Mitt Romney,"stated on January 16, 2012 in a tweet:",barely-true
116_11,"Says Mitt Romney ""runs away from Ronald Reagan.""",Newt Gingrich,"stated on January 13, 2012 in a campaign ad:",barely-true
116_12,"Mitt Romney is worth ""at least a quarter billion dollars"" and the bulk of his wealth ""remains in blind trusts and overseas bank accounts.""",Winning Our Future,"stated on January 10, 2012 in the online video ""King of Bain"":",half-true
116_13,Says Romney and Bain Capital drove KB Toys into bankruptcy by loading it up with debt.,Winning Our Future,"stated on January 11, 2012 in the video, ""When Mitt Romney Came to Town"" :",barely-true
116_14,"Mitt Romney’s and Bain Capital’s profits from KB Toys, which later went out of business, were ""described by the Boston Herald as ‘disgusting.’""",Winning Our Future,"stated on January 12, 2012 in the video, ""When Mitt Romney Came to Town"":",barely-true
116_15,"Mitt Romney is ""tearing down his 3,000-square-foot house to build an 11,000-square-foot house.""",Winning Our Future,"stated on January 12, 2012 in the video ""When Mitt Romney Came to Town"":",mostly-true
116_16,Mitt Romney has 15 homes.,Winning Our Future,"stated on January 12, 2012 in the video, ""When Mitt Romney Came to Town"":",false
116_17,"""Mitt Romney, Rick Perry, and Newt Gingrich all say they would cut foreign aid to Israel — and every other country — to zero.""",Barack Obama,"stated on January 11, 2012 in a page on the Obama campaign website:",pants-fire
116_18,"""What’s clear is (Romney) likes firing people.""",Jon Huntsman,"stated on January 9, 2012 in comments to reporters in Concord, N.H.:",barely-true
116_19,"""President Obama has raised taxes 19 times.""",Mitt Romney,"stated on January 5, 2012 in an e-mail to the Los Angeles Times:",half-true
116_20,"""You can hire lots of bureaucrats.  That’s what the president’s done.  He’s added 135,000 people to the government workforce.""",Mitt Romney,"stated on January 4, 2012 in a town hall meeting in Peterborough, N.H.:",half-true
116_21,"As a result of welfare reform, ""poverty levels went down to the lowest level ever for ... African-American children.""",Rick Santorum,"stated on January 4, 2012 in a New Hampshire town hall with voters:",half-true
116_22,"Says President Barack Obama ""is a socialist.""",Rick Perry,"stated on January 8, 2012 in a Republican debate in New Hampshire.:",pants-fire
116_23,"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t know"" why it was cited.",Newt Gingrich,"stated on January 8, 2012 in an NBC-Facebook debate in Concord, N.H.:",mostly-true
116_24,Says President Barack Obama has opened up no new trade relationships with other nations.,Mitt Romney,"stated on January 7, 2012 in a Republican presidential debate in Manchester, N.H.:",false
116_25,"Paul Ryan’s Medicare plan provides ""pretty much"" the same coverage that members of Congress receive.",Rick Santorum,"stated on January 8, 2012 in a Republican presidential primary debate:",barely-true
116_26,"Says the Simpson-Bowles deficit reduction proposal went from President Barack Obama's desk to ""the garbage can.""",Jon Huntsman,"stated on January 8, 2012 in an NBC-Facebook debate in Concord, N.H.:",false
116_27,"""We're only inches away from no longer being a free economy.""",Mitt Romney,"stated on January 7, 2012 in a Republican presidential debate in Manchester, N.H.:",pants-fire
116_28,"""I delivered a flat tax for my state. I took my state to No. 1 in job creation. With all due respect to what Rick Perry has said about Texas, we did a little bit better.""",Jon Huntsman,"stated on January 7, 2012 in a Republican presidential debate in Manchester, N.H.:",half-true
116_29,"Eliminating ""Obamacare"" ... ""saves $95 billion a year.""",Mitt Romney,"stated on January 8, 2012 in a presidential primary debate in New Hampshire:",false
117_0,"""Our income, our GDP per capita, is almost 50 percent higher than (it is for) the average European.""",Mitt Romney,"stated on December 28, 2011 in an editorial board meeting with an Iowa newspaper:",mostly-true
117_1,"Says he ""helped save"" the Olympic games.",Mitt Romney,"stated on December 6, 2011 in a TV airing in Florida:",mostly-true
117_2,"President Barack Obama ""put in place historic fuel efficiency standards for cars and trucks to lower costs at the pump and reduce dependence on foreign oil.""",Barack Obama,"stated on January 3, 2012 in an Obama for America video:",half-true
117_3,"Says he lived up to a 2008 promise when he ""closed corporate tax loopholes that were sending profits overseas.""",Barack Obama,"stated on January 3, 2012 in a web video advertisement:",half-true
117_4,Says the National Labor Relations Board told Boeing that it couldn’t build a factory in South Carolina because South Carolina is a right-to-work state.,Mitt Romney,"stated on January 5, 2012 in a video ad:",false
117_5,"Rick Santorum ""reformed welfare.""",Rick Santorum,"stated on December 29, 2011 in a video ad:",half-true
117_6,"""We don't take a dime from D.C. lobbyists or special-interest PACs -- never have and never will.""",Barack Obama,"stated on December 28, 2011 in a fundraising appeal:",half-true
117_7,"""Santorum also voted for a teapot museum in North Carolina.""",Rick Perry,"stated on January 2, 2012 in a Web ad:",half-true
117_8,"Says he has ""been able to attract independents and Democrats to win"" elections in Pennsylvania.",Rick Santorum,"stated on December 29, 2011 in an interview on NBC's ""Today"" :",half-true
117_9,"""Newt balanced the federal budget.""",Winning Our Future,"stated on December 27, 2011 in a video ad:",half-true
117_10,"""Fifty percent of Speaker Gingrich’s tax plan goes to the top 1 percent.""",Barack Obama,"stated on December 20, 2011 in a conference call by a campaign spokesman with New Hampshire reporters.:",mostly-true
117_11,"Says Newt Gingrich ""supports amnesty for illegal immigrants.""",Restore Our Future,"stated on December 20, 2011 in a TV ad airing in Iowa and Florida:",half-true
117_12,"""As speaker, Gingrich even supported taxpayer funding of some abortions.""",Restore Our Future,"stated on December 20, 2011 in a video ad:",half-true
117_13,"""No federal official at any level is currently allowed to say ‘Merry Christmas.’""",Newt Gingrich,"stated on December 19, 2011 in a campaign event in Davenport, Iowa:",pants-fire
117_14,"Newt Gingrich ""teamed with Nancy Pelosi and Al Gore on global warming.""",Restore Our Future,"stated on December 14, 2011 in a video ad:",true
117_15,"In a watershed 1958 decision, ""the Warren court asserted by itself that the Supreme Court was supreme over the president and the Congress.""",Newt Gingrich,"stated on December 18, 2011 in an interview on CBS' ""Face the Nation"":",barely-true
117_16,"Says Freddie Mac, electric co-ops and credit unions are all ""government sponsored"" enterprises.",Newt Gingrich,"stated on December 15, 2011 in a Republican presidential debate in Sioux City, Iowa:",pants-fire
117_17,"Says President Obama ""helped more than half a million veterans and military family members go to college through the Post-9/11 G.I. Bill.""",Michelle Obama,"stated on December 14, 2011 in a speech welcoming home troops at Fort Bragg.:",half-true
117_18,"Says Newt Gingrich ""made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.""",Michele Bachmann,"stated on December 15, 2011 in a Republican presidential primary debate:",mostly-true
117_19,"""We’re $15 trillion now in debt, with a president that’s racked up as much debt as almost all of the other presidents combined.""",Mitt Romney,"stated on December 15, 2011 in a Republican presidential debate in Sioux City, Iowa:",barely-true
117_20,"""I never lobbied under any circumstance"" for Freddie Mac.",Newt Gingrich,"stated on December 15, 2011 in a debate in Iowa:",half-true
117_21,"""Traditionally, presidential candidates release their tax returns . . . Mitt Romney still won’t.""",Democratic National Committee,"stated on December 6, 2011 in a Web video.:",mostly-true
117_22,"""In this country … we have more natural gas than Saudi Arabia has oil.""",Jon Huntsman,"stated on December 15, 2011 in a Republican presidential primary debate:",barely-true
117_23,"""I balanced the budget for four straight years, paid off $405 billion in debt.""",Newt Gingrich,"stated on December 15, 2011 in a Republican presidential debate in Sioux City, Iowa:",false
117_24,"""After the debate that we had last week, PolitiFact came out and said that everything I said was true.""",Michele Bachmann,"stated on December 15, 2011 in a Republican presidential debate in Sioux City, Iowa:",pants-fire
117_25,"""The Obama administration just issued instructions that terrorism training should not involve any reference to Islam.""",Newt Gingrich,"stated on December 12, 2011 in a foreign policy debate with Jon Huntsman in Manchester, N.H., Dec. 12, 2011:",false
117_26,"""Speaker Gingrich has said that we ought to get rid of our child labor laws.""",Mitt Romney,"stated on December 7, 2011 in an interview on Fox News:",barely-true
117_27,"""You look at defense … we're spending more than the rest of the world combined.""",Jon Huntsman,"stated on December 12, 2011 in a debate at St. Anselm College in Manchester, N.H.:",barely-true
117_28,"""Only one president has ever cut Medicare for seniors in this country . . . Barack Obama.""",Mitt Romney,"stated on December 10, 2011 in a Republican presidential primary debate:",false
117_29,"In New York City, ""an entry level janitor gets paid twice as much as an entry level teacher.""",Newt Gingrich,"stated on December 10, 2011 in a Republican presidential debate in Des Moines, Iowa:",false
118_0,"Newt Gingrich ""has suggested"" building ""a mirror system in space"" could improve the Earth’s habitability.",David Brooks,"stated on December 9, 2011 in a column in the New York Times:",true
118_1,"Says Mitt Romney, as governor of Massachusetts, ""put into place socialized medicine.""",Michele Bachmann,"stated on December 10, 2011 in a Republican presidential debate in Iowa:",pants-fire
118_2,"Says the paperback edition of Mitt Romney's book deleted line that Massachusetts' individual mandate ""should be the model for the country""",Rick Perry,"stated on December 10, 2011 in a Republican presidential debate in Iowa:",barely-true
118_3,"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating"" for it.",Michele Bachmann,"stated on December 10, 2011 in a Republican presidential debate in Des Moines, Iowa:",mostly-true
118_4,"""The Fed created $15 trillion in the bailout process"" and $5 trillion went overseas.",Ron Paul,"stated on November 30, 2011 in a house party in New Hampshire:",barely-true
118_5,"""Some billionaires have a tax rate as low as 1 percent.""",Barack Obama,"stated on December 6, 2011 in a speech in Osawatomie, Kan.:",barely-true
118_6,"""We have more natural gas in this country than Saudi Arabia has oil.""",Jon Huntsman,"stated on November 16, 2011 in an editorial board meeting with the Nashua Telegraph:",barely-true
118_7,"Says the congressional ethics investigation against him was conducted by ""a very partisan political committee"" in a way that ""related more to the politics of the Democratic Party than to ethics.""",Newt Gingrich,"stated on December 6, 2011 in an interview with Fox News' Greta Van Susteren:",pants-fire
118_8,"""I never favored cap and trade.""",Newt Gingrich,"stated on December 3, 2011 in a Republican presidential candidate forum:",false
118_9,"""The only reason the unemployment rate is going down is because … twice as many people dropped out of the employment pool as the number of jobs were created.""",Newt Gingrich,"stated on December 5, 2011 in a press conference:",barely-true
118_10,"President Barack Obama ""has now spent three years proving that he kills jobs in energy, he kills jobs in manufacturing.""",Newt Gingrich,"stated on December 5, 2011 in a press conference:",barely-true
118_11,Says Newt Gingrich is responsible for the gridlocked politics of Washington.,David Axelrod,"stated on December 5, 2011 in an interview on NBC's ""The Daily Rundown"":",half-true
118_12,Says he followed state law and the precedent of other Massachusetts governors when he erased electronic communications as he left office.,Mitt Romney,"stated on November 21, 2011 in an interview with the editorial board of the 'Telegraph.':",true
